meta_review,paper,Intervention,Age,Outcome,followup_rank,Raters,Class,measure,value,CI_95,CI_lower,CI_upper,p_value,PI_95,n_studies,total_n,egger_p,ESB_p,indirectness,report,rob,es,ci_lo,ci_up,Factor
999,Ostinelli (2025),Cognitive Behavioral Therapy (CBT),Adults (>=18yo),Core ADHD symptoms [Clinician-rated],Follow-up (~26wk),Clinician-rated,Very low,G,0.31,"[-0.064, 0.684]",-0.064,0.684,1.04e-01,"[-2.115, 2.736]",2,109,NaN,7.67e-01,no,100,100,0.31,-0.064,0.684,Ostinelli (2025)_Cognitive Behavioral Therapy (CBT)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At follow-up (closest to 26 weeks)
2154,Lopez (2018),Cognitive Behavioral Therapy (CBT),Adults (>=18yo),Generalized anxiety,Endpoint (~12wk),Self-rated,Very low,G,0.345,"[0.045, 0.644]",0.045,0.644,2.40e-02,"[-0.141, 0.831]",4,168,1.88e-01,4.25e-01,no,100,100,0.345,0.045,0.644,Lopez (2018)_Cognitive Behavioral Therapy (CBT)_Generalized anxiety_Self-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Cognitive Behavioral Therapy (CBT),Adults (>=18yo),Core ADHD symptoms [Self-rated],Endpoint (~12wk),Self-rated,Very low,G,0.366,"[0.153, 0.58]",0.153,0.58,7.73e-04,"[-0.132, 0.864]",9,607,3.11e-01,3.98e-01,no,86.2706038431898,86.2706038431898,0.366,0.153,0.58,Ostinelli (2025)_Cognitive Behavioral Therapy (CBT)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At study endpoint (closest to 12 weeks)
2154,Lopez (2018),Cognitive Behavioral Therapy (CBT),Adults (>=18yo),Depressive disorder symptoms,Endpoint (~12wk),Self-rated,Very low,G,0.452,"[0.137, 0.768]",0.137,0.768,4.90e-03,"[-0.151, 1.056]",5,187,3.41e-01,3.25e-01,no,100,100,0.452,0.137,0.768,Lopez (2018)_Cognitive Behavioral Therapy (CBT)_Depressive disorder symptoms_Self-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Cognitive Behavioral Therapy (CBT),Adults (>=18yo),Core ADHD symptoms [Self-rated],Follow-up (~26wk),Self-rated,Very low,G,0.562,"[0.297, 0.827]",0.297,0.827,3.22e-05,"[-0.065, 1.189]",5,413,1.21e-01,2.15e-02,no,86.3566169778306,86.3566169778306,0.562,0.297,0.827,Ostinelli (2025)_Cognitive Behavioral Therapy (CBT)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At follow-up (closest to 26 weeks)
999,Ostinelli (2025),Cognitive Behavioral Therapy (CBT),Adults (>=18yo),Core ADHD symptoms [Self-rated],Follow-up (~52wk),Self-rated,Very low,G,0.596,"[-0.095, 1.286]",-0.095,1.286,9.07e-02,"[-6.267, 7.458]",2,109,NaN,5.12e-01,no,54.191709116829,54.191709116829,0.596,-0.095,1.286,Ostinelli (2025)_Cognitive Behavioral Therapy (CBT)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At follow-up (closest to 52 weeks)
2118,Liu (2022),Cognitive Behavioral Therapy (CBT),Adults (>=18yo),CGI,Endpoint (~12wk),Clinician-rated,Very low,G,1.145,"[0.311, 1.978]",0.311,1.978,7.12e-03,"[-1.606, 3.895]",5,260,3.70e-01,7.51e-01,no,100,61.3445578908854,1.145,0.311,1.978,Liu (2022)_Cognitive Behavioral Therapy (CBT)_CGI_Clinician-rated_At study endpoint (closest to 12 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Core ADHD symptoms [Teacher-rated],Endpoint (~12wk),Teacher-rated,Low,G,0.114,"[-0.044, 0.273]",-0.044,0.273,1.58e-01,"[-0.084, 0.312]",7,395,3.19e-01,7.78e-01,no,90.6269721951625,65.2065013131306,0.114,-0.044,0.273,Westwood - Children (2024)_Cognitive training_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Teacher-rated_At study endpoint (closest to 12 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Exec. functions (tests),Endpoint (~12wk),,Low,G,0.199,"[0.059, 0.339]",0.059,0.339,5.27e-03,"[0.04, 0.358]",11,623,3.59e-01,6.41e-01,no,91.4055652109728,52.332518511318,0.199,0.059,0.339,Westwood - Children (2024)_Cognitive training_Executive functioning (tests)_NA_At study endpoint (closest to 12 weeks)
575,Catala-Lopez (2017),Cognitive training,Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,Very low,RR,0.609,"[0.366, 1.012]",0.366,1.012,5.57e-02,"[0.33, 1.124]",8,535,5.27e-01,8.25e-01,no,94.390644227592,45.9932638429023,-0.49593701127224,-1.00512194558077,0.0119285708652738,Catala-Lopez (2017)_Cognitive training_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Exec. functions (report),Endpoint (~12wk),,Very low,G,0.089,"[-0.181, 0.359]",-0.181,0.359,5.17e-01,"[-0.503, 0.682]",3,195,5.84e-02,6.62e-01,no,100,16.612124935399,0.089,-0.181,0.359,Westwood - Children (2024)_Cognitive training_Executive functioning (report)_NA_At study endpoint (closest to 12 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Exec. functions (report),Endpoint (~12wk),Parent-rated,Very low,G,0.097,"[-0.16, 0.355]",-0.16,0.355,4.59e-01,"[-0.311, 0.506]",5,238,5.42e-01,7.07e-01,no,76.7716976064676,42.6651350347635,0.097,-0.16,0.355,Westwood - Children (2024)_Cognitive training_Executive functioning (report)_Parent-rated_At study endpoint (closest to 12 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,Very low,G,0.116,"[-0.17, 0.402]",-0.17,0.402,4.26e-01,"[-1.74, 1.972]",2,111,NaN,6.62e-01,no,100,100,0.116,-0.17,0.402,Westwood - Children (2024)_Cognitive training_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Follow-up (~26wk),Parent-rated,Very low,G,0.132,"[-0.154, 0.418]",-0.154,0.418,3.66e-01,"[-0.599, 0.863]",5,273,6.27e-01,8.33e-01,no,84.7035180566219,45.4594085342668,0.132,-0.154,0.418,Westwood - Children (2024)_Cognitive training_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At follow-up (closest to 26 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Exec. functions (report),Follow-up (~26wk),,Very low,G,0.157,"[-0.116, 0.429]",-0.116,0.429,2.59e-01,"[-0.441, 0.755]",3,195,9.75e-01,7.10e-01,no,100,15.7656742121777,0.157,-0.116,0.429,Westwood - Children (2024)_Cognitive training_Executive functioning (report)_NA_At follow-up (closest to 26 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Academic/job performance,Endpoint (~12wk),,Very low,G,0.196,"[-0.045, 0.437]",-0.045,0.437,1.11e-01,"[-0.196, 0.588]",4,237,7.06e-01,7.62e-01,no,100,52.9597860239007,0.196,-0.045,0.437,Westwood - Children (2024)_Cognitive training_Academic/job performance_NA_At study endpoint (closest to 12 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,Very low,G,0.198,"[-0.035, 0.431]",-0.035,0.431,9.61e-02,"[-0.498, 0.894]",10,533,5.56e-01,4.01e-01,no,90.5774548772456,48.8489213744119,0.198,-0.035,0.431,Westwood - Children (2024)_Cognitive training_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Exec. functions (tests),Follow-up (~26wk),,Very low,G,0.198,"[0.012, 0.384]",0.012,0.384,3.74e-02,"[-0.046, 0.441]",6,374,4.82e-01,8.39e-01,no,86.506901861741,24.5466050250462,0.198,0.012,0.384,Westwood - Children (2024)_Cognitive training_Executive functioning (tests)_NA_At follow-up (closest to 26 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Academic/job performance,Follow-up (~26wk),,Very low,G,0.257,"[-0.078, 0.593]",-0.078,0.593,1.33e-01,"[-0.542, 1.057]",4,180,1.61e-01,2.29e-01,no,77.6259786194709,27.6144612268305,0.257,-0.078,0.593,Westwood - Children (2024)_Cognitive training_Academic/job performance_NA_At follow-up (closest to 26 weeks)
3836,Westwood - Children (2024),Cognitive training,Children/Adolescents (6-17yo),Exec. functions (report),Follow-up (~26wk),Parent-rated,Very low,G,0.441,"[0.017, 0.865]",0.017,0.865,4.17e-02,"[-2.612, 3.494]",2,82,NaN,2.55e-01,no,41.1346327118526,0,0.441,0.017,0.865,Westwood - Children (2024)_Cognitive training_Executive functioning (report)_Parent-rated_At follow-up (closest to 26 weeks)
999,Ostinelli (2025),Cognitive training,Adults (>=18yo),Quality of life,Endpoint (~12wk),N/A,Very low,G,-0.309,"[-0.832, 0.214]",-0.832,0.214,2.46e-01,"[-3.698, 3.08]",2,58,NaN,7.06e-01,no,100,100,-0.309,-0.832,0.214,Ostinelli (2025)_Cognitive training_Quality of life (patients)_Mixed_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Cognitive training,Adults (>=18yo),Core ADHD symptoms [Self-rated],Endpoint (~12wk),Self-rated,Very low,G,-0.011,"[-0.332, 0.31]",-0.332,0.31,9.46e-01,"[-0.532, 0.51]",4,160,8.17e-02,6.40e-01,no,100,100,-0.011,-0.332,0.31,Ostinelli (2025)_Cognitive training_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Cognitive training,Adults (>=18yo),Acceptability,Endpoint (~12wk),,Very low,RR,1.296,"[0.64, 2.623]",0.64,2.623,4.71e-01,"[0.141, 11.918]",3,189,7.02e-01,1.46e-01,no,52.6193874894749,52.6193874894749,0.259282597930083,-0.44628710262842,0.964318700884737,Ostinelli (2025)_Cognitive training_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
3836,Westwood - Adults (2024),Cognitive training,Adults (>=18yo),Exec. functions (tests),Endpoint (~12wk),,Very low,G,0.412,"[-0.179, 1.003]",-0.179,1.003,1.72e-01,"[-1.447, 2.272]",4,141,4.35e-01,6.45e-01,no,100,27.8455254671894,0.412,-0.179,1.003,Westwood - Adults (2024)_Cognitive training_Executive functioning (tests)_NA_At study endpoint (closest to 12 weeks)
8991,Maiti - Children (2024),Dasotraline,Children/Adolescents (6-17yo),AE (sleep problems),Endpoint (~12wk),,Very low,RR,0.215,"[0.091, 0.508]",0.091,0.508,4.68e-04,"[0.032, 1.424]",3,380,9.02e-01,1.90e-01,no,100,100,-1.53711725085447,-2.39689577246529,-0.677273831403655,Maiti - Children (2024)_Dasotraline_Specific adverse events: sleep problems_NA_At study endpoint (closest to 12 weeks)
8991,Maiti - Children (2024),Dasotraline,Children/Adolescents (6-17yo),AE (decreased appetite),Endpoint (~12wk),,Very low,RR,0.307,"[0.128, 0.732]",0.128,0.732,7.76e-03,"[0.045, 2.072]",3,380,3.85e-01,4.90e-01,no,100,100,-1.18090753139494,-2.05572501506252,-0.311974765020826,Maiti - Children (2024)_Dasotraline_Specific adverse events: decreased appetite_NA_At study endpoint (closest to 12 weeks)
8991,Maiti - Children (2024),Dasotraline,Children/Adolescents (6-17yo),Core ADHD symptoms [Mixed],Endpoint (~12wk),Mixed,Very low,G,0.628,"[0.199, 1.057]",0.199,1.057,4.11e-03,"[-1.076, 2.332]",3,378,4.68e-02,5.89e-01,no,100,100,0.628,0.199,1.057,Maiti - Children (2024)_Dasotraline_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Mixed_At study endpoint (closest to 12 weeks)
8991,Maiti - Adults (2024),Dasotraline,Adults (>=18yo),AE (decreased appetite),Endpoint (~12wk),,Very low,RR,0.255,"[0.122, 0.532]",0.122,0.532,2.73e-04,"[0.002, 30.074]",2,492,NaN,2.19e-02,no,100,100,-1.36649173382371,-2.10373423424888,-0.631111789640493,Maiti - Adults (2024)_Dasotraline_Specific adverse events: decreased appetite_NA_At study endpoint (closest to 12 weeks)
8991,Maiti - Adults (2024),Dasotraline,Adults (>=18yo),AE (sleep problems),Endpoint (~12wk),,Very low,RR,0.326,"[0.215, 0.495]",0.215,0.495,1.39e-07,"[0.022, 4.872]",2,492,NaN,3.83e-01,no,100,100,-1.12085789761543,-1.53711725085447,-0.703197516413447,Maiti - Adults (2024)_Dasotraline_Specific adverse events: sleep problems_NA_At study endpoint (closest to 12 weeks)
8991,Maiti - Adults (2024),Dasotraline,Adults (>=18yo),Core ADHD symptoms [Mixed],Endpoint (~12wk),Mixed,Very low,G,0.191,"[0.011, 0.371]",0.011,0.371,3.78e-02,"[-0.976, 1.357]",2,482,NaN,8.13e-01,no,100,100,0.191,0.011,0.371,Maiti - Adults (2024)_Dasotraline_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Mixed_At study endpoint (closest to 12 weeks)
8991,Maiti - Adults (2024),Dasotraline,Adults (>=18yo),CGI,Endpoint (~12wk),N/A,Very low,G,0.234,"[0.003, 0.465]",0.003,0.465,4.68e-02,"[-1.737, 2.206]",2,482,NaN,3.41e-01,no,100,100,0.234,0.003,0.465,Maiti - Adults (2024)_Dasotraline_CGI_Mixed_At study endpoint (closest to 12 weeks)
575,Catala-Lopez (2017),Desipramine,Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,Very low,RR,1.221,"[0.299, 4.993]",0.299,4.993,7.81e-01,"[0, 145965.68]",2,114,NaN,6.48e-01,no,100,100,0.199670195128568,-1.20731170559145,1.60803693151847,Catala-Lopez (2017)_Desipramine_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
575,Catala-Lopez (2017),Desipramine,Children/Adolescents (6-17yo),Tolerability,Endpoint (~12wk),,Very low,RR,1.416,"[0.098, 20.475]",0.098,20.475,7.98e-01,"[0, 7851599820.018]",2,114,NaN,6.63e-01,no,100,100,0.347835995271528,-2.32278780031157,3.01920462973913,Catala-Lopez (2017)_Desipramine_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
2646,Otasowie (2014),Desipramine,Children/Adolescents (6-17yo),Core ADHD symptoms [Teacher-rated],Endpoint (~12wk),Teacher-rated,Very low,G,0.978,"[0.283, 1.673]",0.283,1.673,5.81e-03,"[-5.631, 7.588]",2,89,NaN,8.74e-02,no,100,100,0.978,0.283,1.673,Otasowie (2014)_Desipramine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Teacher-rated_At study endpoint (closest to 12 weeks)
2646,Otasowie (2014),Desipramine,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,Very low,G,1.431,"[0.859, 2.002]",0.859,2.002,9.33e-07,"[-3.544, 6.405]",2,99,NaN,4.36e-01,no,100,100,1.431,0.859,2.002,Otasowie (2014)_Desipramine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Dialectical Behavioral Therapy (DBT),Adults (>=18yo),Acceptability,Endpoint (~12wk),,Low,RR,0.899,"[0.551, 1.468]",0.551,1.468,6.72e-01,"[0.251, 3.227]",3,368,2.10e-01,6.54e-01,no,100,100,-0.106472244510517,-0.596020469829223,0.383900930192324,Ostinelli (2025)_Dialectical Behavioral Therapy (DBT)_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Dialectical Behavioral Therapy (DBT),Adults (>=18yo),Core ADHD symptoms [Self-rated],Endpoint (~12wk),Self-rated,Low,G,0.223,"[-0.324, 0.771]",-0.324,0.771,4.24e-01,"[-1.939, 2.386]",3,286,8.55e-01,4.43e-01,no,100,100,0.223,-0.324,0.771,Ostinelli (2025)_Dialectical Behavioral Therapy (DBT)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At study endpoint (closest to 12 weeks)
575,Catala-Lopez (2017),Diet (restricted/elimination),Children/Adolescents (6-17yo),Tolerability,Endpoint (~12wk),,Very low,RR,0.371,"[0.04, 3.427]",0.04,3.427,3.82e-01,"[0, 679120.103]",2,127,NaN,6.72e-01,no,100,49.0279987564236,-0.991553216374702,-3.2188758248682,1.23168524289247,Catala-Lopez (2017)_Diet (restricted/elimination)_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
575,Catala-Lopez (2017),Diet (restricted/elimination),Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,Very low,RR,0.939,"[0.546, 1.615]",0.546,1.615,8.20e-01,"[0.39, 2.264]",4,273,9.03e-02,6.41e-01,no,94.5402404270922,88.8782675366693,-0.0629397997738742,-0.605136303237232,0.47933495667462,Catala-Lopez (2017)_Diet (restricted/elimination)_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
3367,Sonuga-Barke (2014),Diet (restricted/elimination),Children/Adolescents (6-17yo),Core ADHD symptoms [Mixed],Endpoint (~12wk),Mixed,Very low,G,0.729,"[-0.065, 1.524]",-0.065,1.524,7.18e-02,"[-1.97, 3.429]",4,218,1.64e-01,4.72e-01,serious,0,0,0.729,-0.065,1.524,Sonuga-Barke (2014)_Diet (restricted/elimination)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Mixed_At study endpoint (closest to 12 weeks)
798,Heirs (2007),Homeopathy,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,Very low,G,-0.053,"[-0.515, 0.409]",-0.515,0.409,8.23e-01,"[-3.05, 2.944]",2,63,NaN,6.09e-01,no,0,0,-0.053,-0.515,0.409,Heirs (2007)_Homeopathy_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
798,Heirs (2007),Homeopathy,Children/Adolescents (6-17yo),CD/ODD symptoms,Endpoint (~12wk),Parent-rated,Very low,G,0.021,"[-0.442, 0.484]",-0.442,0.484,9.29e-01,"[-2.982, 3.024]",2,63,NaN,5.94e-01,no,0,0,0.021,-0.442,0.484,Heirs (2007)_Homeopathy_Conduct Disorder symptoms/Oppositional Defiant Disorder symptoms_Parent-rated_At study endpoint (closest to 12 weeks)
575,Catala-Lopez (2017),Homeopathy,Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,Very low,RR,1.448,"[0.73, 2.874]",0.73,2.874,2.90e-01,"[0.017, 123.252]",2,104,NaN,6.92e-01,no,18.6210952873151,18.6210952873151,0.370183293963525,-0.3147107448397,1.05570478765683,Catala-Lopez (2017)_Homeopathy_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
3448,Sugaya (2023),Methylphenidate,Pre-school (<6yo),Acceptability,Endpoint (~12wk),,Very low,RR,2.888,"[1.55, 5.382]",1.55,5.382,8.38e-04,"[0.051, 163.305]",2,216,NaN,5.64e-01,no,100,100,1.06056422103058,0.438254930931155,1.68306005230471,Sugaya (2023)_Methylphenidate_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
662,Chiu (2022),Methylphenidate,Pre-school (<6yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,Very low,G,0.628,"[0.282, 0.974]",0.282,0.974,3.72e-04,"[-0.409, 1.665]",5,623,2.75e-01,1.05e-01,no,100,100,0.628,0.282,0.974,Chiu (2022)_Methylphenidate_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
662,Chiu (2022),Methylphenidate,Pre-school (<6yo),Core ADHD symptoms [Teacher-rated],Endpoint (~12wk),Teacher-rated,Very low,G,0.664,"[0.222, 1.106]",0.222,1.106,3.25e-03,"[-0.669, 1.997]",5,526,8.48e-02,1.12e-01,no,100,100,0.664,0.222,1.106,Chiu (2022)_Methylphenidate_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Teacher-rated_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Methylphenidate,Children/Adolescents (6-17yo),Tolerability,Endpoint (~12wk),,High,RR,0.638,"[0.363, 1.122]",0.363,1.122,1.19e-01,"[0.349, 1.166]",20,2878,5.23e-01,8.55e-01,no,100,100,-0.449416995637347,-1.01335244471729,0.115112807100505,Cortese - Children (2018)_Methylphenidate_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Methylphenidate,Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,High,RR,1.584,"[1.353, 1.854]",1.353,1.854,1.01e-08,"[1.34, 1.873]",21,2947,1.12e-01,5.98e-01,no,100,100,0.459953293392234,0.302324349188651,0.617345467143664,Cortese - Children (2018)_Methylphenidate_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Methylphenidate,Children/Adolescents (6-17yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,High,G,0.762,"[0.56, 0.965]",0.56,0.965,1.45e-13,"[0.328, 1.197]",6,1038,8.63e-01,2.46e-01,no,100,100,0.762,0.56,0.965,Cortese - Children (2018)_Methylphenidate_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Methylphenidate,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,High,G,0.786,"[0.634, 0.939]",0.634,0.939,4.69e-24,"[0.603, 0.97]",8,852,3.33e-01,6.24e-01,no,100,100,0.786,0.634,0.939,Cortese - Children (2018)_Methylphenidate_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
3425,Storebo (2023),Methylphenidate,Children/Adolescents (6-17yo),Suicidal ideation/behavior,Endpoint (~12wk),N/A,Moderate,RR,1.103,"[0.245, 4.962]",0.245,4.962,8.98e-01,"[0.154, 7.927]",6,1032,2.71e-02,6.62e-01,no,77.3979672231714,77.3979672231714,0.0980337402713654,-1.40649706843741,1.60180888526961,Storebo (2023)_Methylphenidate_Suicidal ideation/behavior_Mixed_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Methylphenidate,Children/Adolescents (6-17yo),Core ADHD symptoms [Teacher-rated],Endpoint (~12wk),Teacher-rated,Moderate,G,0.826,"[0.625, 1.028]",0.625,1.028,9.89e-16,"[0.474, 1.179]",5,437,4.68e-01,9.28e-01,no,100,100,0.826,0.625,1.028,Cortese - Children (2018)_Methylphenidate_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Teacher-rated_At study endpoint (closest to 12 weeks)
8992,Farhat (2024),Methylphenidate,Children/Adolescents (6-17yo),Tics/Tourette disorder symptoms,Endpoint (~12wk),N/A,Low,G,0.117,"[-0.388, 0.622]",-0.388,0.622,6.49e-01,"[-1.825, 2.06]",3,217,8.90e-01,5.27e-01,no,100,100,0.117,-0.388,0.622,Farhat (2024)_Methylphenidate_Tics/Tourette disorder symptoms_Mixed_At study endpoint (closest to 12 weeks)
3425,Storebo (2023),Methylphenidate,Children/Adolescents (6-17yo),Quality of life,Endpoint (~12wk),N/A,Low,G,0.61,"[0.421, 0.798]",0.421,0.798,2.29e-10,"[0.196, 1.023]",3,514,5.21e-01,1.35e-01,no,100,100,0.61,0.421,0.798,Storebo (2023)_Methylphenidate_Quality of life (patients)_Mixed_At study endpoint (closest to 12 weeks)
3425,Storebo (2023),Methylphenidate,Children/Adolescents (6-17yo),AE (decreased appetite),Endpoint (~12wk),,Low,RR,0.264,"[0.193, 0.363]",0.193,0.363,1.91e-16,"[0.059, 1.183]",41,6091,1.90e-03,1.14e-05,no,85.285965820091,78.4944522568523,-1.33180617583582,-1.64506509007725,-1.01335244471729,Storebo (2023)_Methylphenidate_Specific adverse events: decreased appetite_NA_At study endpoint (closest to 12 weeks)
3425,Storebo (2023),Methylphenidate,Children/Adolescents (6-17yo),AE (sleep problems),Endpoint (~12wk),,Very low,RR,0.533,"[0.396, 0.718]",0.396,0.718,3.50e-05,"[0.137, 2.082]",37,5499,1.91e-02,2.80e-01,no,88.0648044370761,81.7439304049397,-0.629233854816293,-0.926341067727656,-0.331285709933913,Storebo (2023)_Methylphenidate_Specific adverse events: sleep problems_NA_At study endpoint (closest to 12 weeks)
474,Bryant (2021),Methylphenidate,Children/Adolescents (6-17yo),Generalized anxiety,Endpoint (~12wk),N/A,Very low,G,0.382,"[-0.215, 0.979]",-0.215,0.979,2.09e-01,"[-1.893, 2.657]",3,162,1.78e-01,4.18e-01,no,100,100,0.382,-0.215,0.979,Bryant (2021)_Methylphenidate_Generalized anxiety_Mixed_At study endpoint (closest to 12 weeks)
3425,Storebo (2023),Methylphenidate,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Follow-up (~26wk),Parent-rated,Very low,G,0.567,"[0.347, 0.786]",0.347,0.786,4.20e-07,"[-0.856, 1.99]",2,322,NaN,8.51e-01,no,100,0,0.567,0.347,0.786,Storebo (2023)_Methylphenidate_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At follow-up (closest to 26 weeks)
999,Ostinelli (2025),Methylphenidate,Adults (>=18yo),Tolerability,Endpoint (~12wk),,High,RR,0.499,"[0.361, 0.69]",0.361,0.69,2.58e-05,"[0.354, 0.705]",21,4389,7.46e-01,5.14e-01,no,93.979124818247,93.979124818247,-0.695149183230618,-1.01887732064926,-0.371063681390832,Ostinelli (2025)_Methylphenidate_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Methylphenidate,Adults (>=18yo),Core ADHD symptoms [Self-rated],Endpoint (~12wk),Self-rated,High,G,0.343,"[0.261, 0.425]",0.261,0.425,3.01e-16,"[0.251, 0.434]",13,2944,1.40e-01,4.15e-01,no,100,100,0.343,0.261,0.425,Ostinelli (2025)_Methylphenidate_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At study endpoint (closest to 12 weeks)
2785,Pievsky (2018),Methylphenidate,Adults (>=18yo),Exec. functions (tests),Endpoint (~12wk),Clinician-rated,Moderate,G,0.154,"[0.028, 0.28]",0.028,0.28,1.62e-02,"[-0.014, 0.322]",15,973,3.83e-01,6.21e-01,no,87.1818731745766,80.6955846073525,0.154,0.028,0.28,Pievsky (2018)_Methylphenidate_Executive functioning (tests)_Clinician-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Methylphenidate,Adults (>=18yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,Moderate,G,0.502,"[0.393, 0.611]",0.393,0.611,1.82e-19,"[0.153, 0.85]",18,3680,2.04e-02,7.16e-02,no,100,100,0.502,0.393,0.611,Ostinelli (2025)_Methylphenidate_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
381,Boesen (2022),Methylphenidate,Adults (>=18yo),AE (decreased appetite),Endpoint (~12wk),,Very low,RR,0.245,"[0.201, 0.3]",0.201,0.3,5.06e-43,"[0.197, 0.305]",16,4491,2.45e-01,4.87e-01,no,20.4896803774332,20.4896803774332,-1.40649706843741,-1.60445037092306,-1.20397280432594,Boesen (2022)_Methylphenidate_Specific adverse events: decreased appetite_NA_At study endpoint (closest to 12 weeks)
